宗教,场所名称,场所类别,所在区,地址,联系电话,邮政编码,负责人,文物保护级别,统一社会信用代码
道教（正一）,上海城隍庙,寺观教堂,黄浦区,上海市黄浦区方浜中路249号,021-63865700,200010,吉宏忠,省级文物保护单位,71310101E78905469L
道教（正一）,上海白云观,寺观教堂,黄浦区,上海市黄浦区大境路239号,021－63287236,200010,姚树良,市县级文物保护单位,71310101134538404W
基督教,上海市基督教沐恩堂,寺观教堂,黄浦区,上海市黄浦区西藏中路316号,021-63225069,200001,姜茜莉,省级文物保护单位,71310101424810007X
基督教,上海市基督教诸圣堂,寺观教堂,黄浦区,上海市黄浦区复兴中路425号,021-63850906,200025,王翠芳,市县级文物保护单位,71310101425071234A
基督教,上海市基督教清心堂,寺观教堂,黄浦区,上海市黄浦区大昌街30号,021-63770874,200011,刘利君,省级文物保护单位,71310101424815078C
基督教,上海市基督教惠中堂,寺观教堂,黄浦区,上海市黄浦区徐家汇路38-40号,021-63202456,200025,陈轶丽,无,71310101093484840D
佛教（汉语系）,上海法藏讲寺,寺观教堂,黄浦区,上海市黄浦区吉安路271号,021-63114971,200021,光慧,市县级文物保护单位,713101014250712425
佛教（汉语系）,上海慈修庵,寺观教堂,黄浦区,上海市黄浦区榛岭街15号,021-63282892,200010,常济,市县级文物保护单位,713101014248150274
佛教（汉语系）,上海沉香阁,寺观教堂,黄浦区,上海市黄浦区沉香阁路29号,021-63555508,200010,定慧,全国重点文物保护单位,713101014248159088
伊斯兰教,上海小桃园清真寺,寺观教堂,黄浦区,上海市黄浦区复兴东路小桃园街52 号,021-63775442,200010,金宏伟,省级文物保护单位,71310101666090882Q
伊斯兰教,上海福佑路清真寺,寺观教堂,黄浦区,上海市黄浦区福佑路378号,021--63282135,200010,韩法营,市县级文物保护单位,713101016660909114
伊斯兰教,上海清真女寺,寺观教堂,黄浦区,上海市黄浦区小桃园街24号,021--63773032,200010,刘健,无,713101016660908663
天主教,上海重庆南路天主堂,寺观教堂,黄浦区,上海市黄浦区重庆南路270号,021-64670199,200025,吴建林,无,71310101764281201Y
天主教,上海四川南路天主堂,寺观教堂,黄浦区,上海市黄浦区四川南路36号,021-63280293,200002,何为,省级文物保护单位,71310101754322815P
天主教,上海董家渡天主堂,寺观教堂,黄浦区,上海市黄浦区董家渡路185号,021-63787058,200010,陆裕春神父,省级文物保护单位,713101014248158600
天主教,上海巨鹿路君王堂,寺观教堂,黄浦区,上海市黄浦区巨鹿路361号,021-62178107,200020,赵保军,省级文物保护单位,71310101MCU181516P
基督教,上海市基督教国际礼拜堂,寺观教堂,徐汇区,上海市徐汇区衡山路53号,021-64377610,200031,郑贡达,省级文物保护单位,71310104E78811518M
基督教,上海市基督教国际礼拜堂龙华固定活动处所,固定处所,徐汇区,上海市徐汇区龙华西路31弄47号102室,021-34171700,200232,沈美英,无,71310104MCU082198F
基督教,上海市基督教国际礼拜堂长桥固定活动处所,固定处所,徐汇区,上海市徐汇区长桥四村79号103室,021-54937767,200231,徐美萍,无,71310104MCU0822190
基督教,上海市基督教国际礼拜堂漕溪一村固定活动处所,固定处所,徐汇区,上海市徐汇区漕溪路漕溪一村65号102室,021-54207115,200233,方金明,全国重点文物保护单位,71310104MCU082227T
基督教,徐汇区基督教漕溪固定活动处所,固定处所,徐汇区,上海市徐汇区漕溪路190号华林大厦4楼,021-54192206,200233,杨小弟,无,71310104MCU082243G
佛教（汉语系）,上海龙华古寺,寺观教堂,徐汇区,上海市徐汇区龙华路2853号,021-64566085*8106,200232,慧真 平熙,全国重点文物保护单位,71310104425012410B
佛教（汉语系）,上海宁国禅寺,寺观教堂,徐汇区,上海市徐汇区华泾路858号,021-54826580,200231,平熙,无,713101045947270119
天主教,徐家汇天主堂,寺观教堂,徐汇区,上海市徐汇区蒲西路158号,021-64382595,200030,顾张军,全国重点文物保护单位,7131010406601291XJ
天主教,紫阳玫瑰圣母堂,固定处所,徐汇区,上海市徐汇区龙吴路2573号,021-64382595,200231,张恒毅,无,7131010407812912XH
道教（正一）,上海三泾庙,寺观教堂,长宁区,上海市长宁区长宁路三泾北宅244号,021-62412538,200051,夏玉东,无,71310105690131904J
基督教,上海市基督教沪西礼拜堂,寺观教堂,长宁区,上海市长宁区长宁路1465号,021-62597389,200051,俞光植,无,713101054248401504
基督教,上海市基督教新泾礼拜堂,固定处所,长宁区,上海市长宁区哈密路77号,021-52189950,200335,俞光植,无,71310105594741585U
基督教,长宁区基督教天山固定活动处所,固定处所,长宁区,上海市长宁区仙霞路701号三楼,021-62332671,200336,周毅萍,无,71310105MCU08226XH
佛教（汉语系）,福缘禅寺,寺观教堂,长宁区,上海市长宁区镇宁路465弄31号,021-62138473,200051,仁净,无,71310105424840185N
天主教,曹家渡堂,寺观教堂,长宁区,上海市长宁区万航渡路1066号,021-62521055,200042,田愿想,无,713101055696468932
天主教,上海天主教息焉堂,寺观教堂,长宁区,上海市长宁区可乐路1号,021-52199769,200335,李艳军,省级文物保护单位,71310105062528812Y
天主教,上海长宁遵义南路天主堂,寺观教堂,长宁区,上海市长宁区万航渡路1066号,021-62090264,200336,李艳军,无,71310105062528951M
基督教,上海市基督教新恩堂,固定处所,静安区,上海市静安区乌鲁木齐北路25号,021-62580451,200040,张剑民,市县级文物保护单位,71310106MCU632743J
基督教,上海市基督教怀恩堂,寺观教堂,静安区,上海市静安区陕西北路375号,021-62585598,200040,詹敏,省级文物保护单位,71310106425012349H
基督教,基督教闸北堂,寺观教堂,静安区,上海市静安区宝通路340号,021-56629409,200071,秦小林,省级文物保护单位,71310106760585101D
基督教,基督教灵泉堂,固定处所,静安区,上海市静安区临汾路1555号,021-56410073,200433,葛蕤,无,71310106MCU0775161
佛教（汉语系）,上海静安寺,寺观教堂,静安区,上海市静安区南京西路1686号,021－62566366,200040,慧明,省级文物保护单位,71310106424845496E
佛教（汉语系）,宝华寺,寺观教堂,静安区,上海市静安区高平路1000号,021-56503032,200436,永觉,无,71310106424855125T
佛教（汉语系）,上海圆明讲堂,寺观教堂,静安区,上海市静安区延安西路434号,021-62483968,200040,崇林,无,71310106425011303K
佛教（汉语系）,上海佛教居士林,寺观教堂,静安区,上海市静安区常德路418号,021-62179900,200040,周富根,无,713101064252003669
天主教,闸北天主堂,寺观教堂,静安区,上海市静安区育婴堂路289号,021-56624172,200070,沈宗熙,无,71310106687336941E
天主教,大田路德肋撒天主堂,寺观教堂,静安区,上海市静安区大田路370号,021-62539359,200041,赵保军,无,7131010669155954XM
基督教,上海市基督教普安堂,寺观教堂,普陀区,上海市普陀区镇坪路152号,021－52946562,200061,宁国敏,无,71310107424850201C
基督教,上海市普陀区基督教桃浦堂,寺观教堂,普陀区,上海市普陀区绿杨路275号,021-66958055,200331,宁国敏,无,7131010775318991X4
基督教,上海市基督教普安堂真如聚会点,固定处所,普陀区,上海市普陀区曹杨八村173101-102室,021－62169909,200063,郑主扬,无,71310107MCU0822944
基督教,上海市基督教普安堂桃浦新村聚会点,固定处所,普陀区,上海市普陀区武威路1187号,021－66268266,200333,金苏馨,无,71310107MCU082323F
基督教,上海市基督教普安堂李子园聚会点,固定处所,普陀区,上海市普陀区真南路822弄521支弄70101－102室,021－62842175,200333,范恩情,无,71310107MCU082331A
佛教（汉语系）,上海玉佛禅寺,寺观教堂,普陀区,上海市普陀区安远路170号,021-62663668,200060,觉醒,市县级文物保护单位,71310107424850092D
佛教（汉语系）,上海真如寺,寺观教堂,普陀区,上海市普陀区兰溪路399号,021-62546340,200333,传觉,全国重点文物保护单位,71310107425203225G
伊斯兰教,上海沪西清真寺,寺观教堂,普陀区,上海市普陀区常德路1328弄3号,021-62775966,200060,穆华懋,无,7131010742485021X4
天主教,上海怒江路圣母圣心堂,寺观教堂,普陀区,上海市普陀区怒江路638号,021-62229113,200333,顾张军,无,713101077785244624
基督教,上海市基督教景灵堂,寺观教堂,虹口区,上海市虹口区昆山路135号,021-63243021,200080,余江,无,7131010942482525X2
基督教,上海市基督教江湾基督堂,固定处所,虹口区,上海市虹口区水电路1717号,021-65281108,200434,余江,无,71310109MCU082358Y
基督教,上海市基督教鸿德堂,固定处所,虹口区,上海市虹口区多伦路59号,021-56961196,200081,余江,无,71310109MCU082374L
佛教（汉语系）,上海下海庙,寺观教堂,虹口区,上海市虹口区昆明路73号,021-65416559,200082,圣缘,无,71310109424825225L
佛教（汉语系）,上海三观堂,寺观教堂,虹口区,上海市虹口区万安路359号,021-65368453,200434,定愔,无,71310109703135673P
天主教,上海虹口天主堂,寺观教堂,虹口区,上海市虹口区南浔路246号,021-63250524,200080,牛素青,无,71310109424826180W
佛教（汉语系）,太平报恩寺,寺观教堂,杨浦区,上海市杨浦区丹阳路169号,021-65028585,200082,慧明,无,7131011066783656X2
基督教,上海市基督教沪东堂,寺观教堂,杨浦区,上海市杨浦区国和路350号,021—65337102,200433,王建华,无,71310110MCU082390P
基督教,上海市基督教江浦聚会点,寺观教堂,杨浦区,上海市杨浦区蒋家浜小街23号,021—65337102,200092,孙宝庆,无,71310110MCU082403D
基督教,上海市基督教长白聚会点,寺观教堂,杨浦区,上海市杨浦区长白路127号,021—65337102,200093,王伟,无,71310110MCU0824118
佛教（汉语系）,上海法善庵,寺观教堂,杨浦区,上海市杨浦区政本路338号,021—55054678,200433,体  圣,无,71310110425145934B
伊斯兰教,江湾清真寺,寺观教堂,杨浦区,上海市杨浦区政府路86号,021—33812166,200433,张人宪,无,71310110688793394W
天主教,天主教和平堂,寺观教堂,杨浦区,上海市杨浦区惠民路692号,021-65460067,200082,牛素青,无,713101106643265990
佛教（汉语系）,上海闵行省殿禅寺,固定处所,闵行区,上海市闵行区景洪路2688号,021-34536378,201108,相玉,无,71310112069311819L
佛教（汉语系）,上海闵行长寿禅寺,固定处所,闵行区,上海市闵行区浦江镇浦锦南路1583号,021-34555600,201112,耀维,无,71310112082093158B
道教（正一）,诸翟关帝庙,寺观教堂,闵行区,上海市闵行区华漕镇诸翟紫苑路126号,021-62211166,201107,方忠雪,无,713101127752094750
道教（正一）,浦江镇排马庙,固定处所,闵行区,上海市闵行区浦锦街道立跃路4456弄17号,021-54331086,201114,方忠雪,无,71310112MCU0771968
基督教,陈行耶稣堂,寺观教堂,闵行区,上海市闵行区浦江镇陈行公路1838号,021-64295175,201114,孙凤琴,无,71310112761644740Q
基督教,闵行福音堂,寺观教堂,闵行区,上海市闵行区凤庆路1060号,021-64630252,200240,张洁妹,无,71310112787237334A
基督教,莘庄耶稣堂,寺观教堂,闵行区,上海市闵行区莘庄镇莘浜路551号,021-64981646,201199,茅晓明,无,71310112787240293W
基督教,北桥耶稣堂,寺观教堂,闵行区,上海市闵行区北吴路1500号,021-64901265,201109,李品花,无,71310112735429967X
基督教,杜行福音堂,寺观教堂,闵行区,上海市闵行区浦江镇杜行竹园西路2号,021-64117012,201112,徐引宝,无,71310112755025986R
基督教,鲁汇耶稣堂,寺观教堂,闵行区,上海市闵行区浦江镇沿浦路19号,021-54910192,201112,张雨仙,无,71310112671644863G
基督教,七宝耶稣堂,固定处所,闵行区,上海市闵行区七莘路1644号,021-64787707,201101,张雨仙,无,71310112697296779J
基督教,吴泾福音堂,寺观教堂,闵行区,上海市闵行区吴泾镇龙吴路5330号,021-64504148,200241,张洁妹,无,71310112MCU08242XW
佛教（汉语系）,上海七宝教寺,寺观教堂,闵行区,上海市闵行区七宝镇新镇路1205号,021-54850213,201101,慧平,无,7131011275501921X7
佛教（汉语系）,上海闵行龙音寺,寺观教堂,闵行区,上海市闵行区江川街道闵东路1号,021-54738628,200240,信弘,无,71310112742128150A
佛教（汉语系）,上海闵行万寿庵,寺观教堂,闵行区,上海市闵行区马桥镇东街29号,021-64099825,201111,界超,无,71310112787242424J
佛教（汉语系）,大圆通寺,固定处所,闵行区,上海市闵行区纪翟路2779号,021-62960311,201107,慧莲,无,7131011255592301XQ
天主教,马桥天主堂,寺观教堂,闵行区,上海市闵行区马桥镇东街25号,021-64090121,201111,任建文,市县级文物保护单位,71310112582070390M
天主教,七宝天主堂,寺观教堂,闵行区,上海市闵行区七宝镇南街50号,021-64799317,201101,李虎,市县级文物保护单位,713101127872369130
天主教,北桥天主堂,固定处所,闵行区,上海市闵行区颛桥镇中心村,021-64090121,201109,任建文,无,71310112MCU181524G
天主教,陈行天主堂,寺观教堂,闵行区,上海市闵行区浦江镇勤劳村6队,021-64293032,201114,任建文,无,71310112MCU181532B
天主教,杨家天主堂,固定处所,闵行区,上海市闵行区马桥镇工农村,021-64090121,201111,任建文,无,71310112MCU181567X
天主教,许家塘天主堂,固定处所,闵行区,上海市闵行区七宝镇上村许家塘,021-64090121,201101,李虎,无,71310112MCU181575Q
天主教,小涞桥天主堂,固定处所,闵行区,上海市闵行区新虹桥街道光华村小涞桥,021-64799317,201101,李虎,无,71310112MCU181591E
天主教,阮家厍天主堂,固定处所,闵行区,上海市闵行区七宝镇九星村阮家厍,021-64799317,201101,李虎,无,71310112MCU1816044
佛教（汉语系）,上海宝山淞南寺,固定处所,宝山区,上海市宝山区淞南镇459弄27号,021-66781335,200431,安觉,无,71310113076414330L
佛教（汉语系）,上海宝山宝隆古寺,寺观教堂,宝山区,上海市宝山区杨行镇杨宗路558号,021-36210981,201901,慧同,无,71310113080001272E
基督教,上海市宝山区基督教罗泾活动点,固定处所,宝山区,上海市宝山区罗泾镇陈川路350弄91临,021－56870690,200949,陈国英,无,71310113679324107P
基督教,上海市宝山区基督教葑塘聚会点,寺观教堂,宝山区,上海市宝山区大场镇锦秋路2320号,021－56133351,200435,李文英,无,713101134248668872
基督教,上海市宝山区基督教施恩堂,寺观教堂,宝山区,上海市宝山区泗塘一村7号,021－56993462,201431,王好杰,无,71310113E788311723
基督教,上海市宝山区基督教月浦堂,寺观教堂,宝山区,上海市宝山区北安路103弄15号,021－56937980,200941,逸明,无,71310113424866908J
基督教,上海市宝山区基督教谢恩堂,寺观教堂,宝山区,上海市宝山区丰宝路54号,021－63637833,200436,于兰,无,713101134248668797
基督教,上海市宝山区基督教大场堂,寺观教堂,宝山区,上海市宝山区沪太支路1225号,021－56681596,200436,张泽燕,无,71310113425155067P
基督教,上海市宝山区基督教宝山聚会点,固定处所,宝山区,上海市宝山区漠河路28东门,021－56780467,201900,刘桑梅,无,713101136762406022
基督教,上海市基督教吴淞堂,寺观教堂,宝山区,上海市宝山区宝杨路74号,021－56101766,201900,王立祥,无,71310113774328771P
基督教,上海市宝山区基督教罗店堂,寺观教堂,宝山区,上海市宝山区罗店镇界泾村63号,021－56862059,201908,孙雪芬,无,71310113425155438E
基督教,上海市宝山区基督教杨行堂,寺观教堂,宝山区,上海市宝山区杨泰路510弄5号,021－56803269,201901,张伯泉,无,71310113758551164C
基督教,上海市宝山区基督教盛桥聚会点,固定处所,宝山区,上海市宝山区盛桥路90号,021－56150369,200942,嵇龙英,无,71310113676240880F
基督教,上海市宝山区基督教刘行聚会点,固定处所,宝山区,上海市宝山区顾村镇联杨路1826号,021－56028789,201907,陆佳,无,713101136762409790
佛教（汉语系）,上海宝山寺,寺观教堂,宝山区,上海宝山罗店镇罗溪路518号,021—56865143,201908,世良,无,71310113425090830L
佛教（汉语系）,上海宝山太平禅寺,寺观教堂,宝山区,上海宝山顾村镇富联路328弄28号,021—56181655,201907,智慧,无,713101137655754043
佛教（汉语系）,上海宝山永福庵,寺观教堂,宝山区,上海宝山大场镇南陈路351弄2号,021—56139137,200444,演峰,无,71310113425155382B
佛教（汉语系）,上海杨行察司庙,固定处所,宝山区,上海宝山杨行镇泰和支路87弄50号,021—56495616,201901,果明,无,713101136746007744
佛教（汉语系）,上海宝山罗泾萧泾古寺,固定处所,宝山区,上海宝山罗泾镇沪太路8872弄50号,021—56873775,200949,妙华,无,71310113687341476C
佛教（汉语系）,上海大场金皇讲寺,固定处所,宝山区,上海宝山大场镇丰宝路350号,021—36386669,200444,净德,无,7131011357584567XY
佛教（汉语系）,上海月浦甘露寺,固定处所,宝山区,上海宝山月浦镇练祁路688号,021—33852102,200942,惟明,无,71310113055865108W
天主教,上海孟家宅天主堂,寺观教堂,宝山区,上海市宝山区阳泉路1295号,021－66972249,200435,魏特选,无,71310113574196911Q
天主教,上海北姚湾天主堂,寺观教堂,宝山区,上海市宝山区大场镇老宅生产队,021－62505506,200436,魏特选,无,71310113MCU1823085
道教（正一）,嘉定城隍庙,固定处所,嘉定区,上海市嘉定区嘉定镇东大街312号,021-69910855,201899,王进,省级文物保护单位,71310114566564972F
基督教,嘉定区南翔镇真理堂,寺观教堂,嘉定区,上海市嘉定区南翔镇翔乐路58号,021-59173916,201802,杨玉兰,无,71310114MCU082454F
基督教,嘉定区基督教马陆聚会所,固定处所,嘉定区,上海市嘉定区马陆浏翔公路2068号,021-39105377,201801,卢行萍,无,71310114MCU0824705
基督教,嘉定区江桥镇生命堂,寺观教堂,嘉定区,上海市江桥镇虞姬墩路32弄32号,021-59118106,201803,王范春,无,71310114MCU082497W
基督教,上海市嘉定区黄渡镇福音堂,寺观教堂,嘉定区,上海市嘉定区黄渡黄沈村284号,021-59595875,201804,徐娟,无,71310114MCU0825268
基督教,上海市嘉定区安亭镇耶稣堂,寺观教堂,嘉定区,上海市嘉定区安亭镇蓬青东路116号,021-59571856,201805,陈琴,无,71310114MCU082542X
基督教,嘉定区基督教善牧堂,寺观教堂,嘉定区,上海市嘉定区清河路432号,021-59913554,201899,卢雪芬,无,71310114MCU082550Q
基督教,嘉定工业区基督教锡安堂,寺观教堂,嘉定区,上海市嘉定区嘉唐公路1390号,021-59546299,201807,徐兴兰,无,71310114MCU082577G
基督教,嘉定区安亭镇颂恩堂,寺观教堂,嘉定区,上海市嘉定区安亭镇陆家巷605号,021-39508900,201814,潘香斌,无,71310114MCU082585B
基督教,嘉定区基督教沙河村聚会所,固定处所,嘉定区,上海市嘉定区江桥镇金园路1118弄146号202,021-59142281,201806,王范春,无,71310114MCU0825936
佛教（汉语系）,上海嘉定华藏禅寺,固定处所,嘉定区,上海市嘉定区华亭镇华高路526号,021-39900390,201816,圣贤,无,71310114055857124P
佛教（汉语系）,上海护国寺,固定处所,嘉定区,上海市嘉定区清河路215号,021-59991000,201899,雨平,无,71310114588692123U
佛教（汉语系）,上海云翔寺,寺观教堂,嘉定区,上海市嘉定区南翔镇人民街100号,021-59123333,201802,昌明,无,7131011442516035XX
佛教（汉语系）,上海药师殿,固定处所,嘉定区,上海市嘉定区外冈镇葛隆村609号,021-59585838,201806,觐林,市县级文物保护单位,713101146822384966
佛教（汉语系）,上海吴兴禅寺,寺观教堂,嘉定区,上海市嘉定区外冈镇沪宜公路5428号,021-59581999,201806,宗祥,无,71310114425093353P
佛教（汉语系）,上海万福寺,固定处所,嘉定区,上海市嘉定区外冈镇泉泾村,021-69931904,201823,仁成,无,71310114679387693K
佛教（汉语系）,上海万佛寺,固定处所,嘉定区,上海市嘉定区金沙江西路200号,021-59113399,201803,慧禅,无,713101146660841241
佛教（汉语系）,上海菩提禅寺,寺观教堂,嘉定区,上海市嘉定区安亭镇永安街422号,021-59576502,201805,慧证,无,713101147575874648
佛教（汉语系）,上海嘉定曹王禅寺,寺观教堂,嘉定区,上海市嘉定区徐行镇潘桥路198号,021-39533389-122,201809,曙红,无,71310114425160368X
天主教,南翔天主堂,寺观教堂,嘉定区,上海市嘉定区南翔镇真南路5215号,021-59120520,201802,马大超,无,713101147828264981
天主教,嘉定宫保桥天主堂,寺观教堂,嘉定区,上海市嘉定区嘉定镇中下塘街99号,021-59533330,201899,田海军,市县级文物保护单位,71310114564765746D
天主教,娄塘天主堂,寺观教堂,嘉定区,上海市嘉定区嘉定工业区娄塘人民街142号,021-59533330,201807,田海军,市县级文物保护单位,71310114MCU181647E
天主教,黄渡庄家村若翰堂,寺观教堂,嘉定区,上海市嘉定区安亭镇黄渡庄家村,021-59120520,201804,马大超,无,71310114MCU1816559
天主教,钱门天主堂,寺观教堂,嘉定区,上海市嘉定区外冈镇古塘村,021-59533330,201806,田海军,无,71310114MCU182367N
天主教,安亭天主堂,寺观教堂,嘉定区,上海市嘉定区安亭镇安诚路177弄1号,021-59120520,201805,马大超,无,71310114MCU182439F
佛教（汉语系）,上海浦东新区灵山庵,固定处所,浦东新区,上海市浦东新区祝桥镇二村北朱家宅46号,021-50960763,201202,悟恒,无,71310115090051310D
佛教（汉语系）,上海浦东新区国庆寺,寺观教堂,浦东新区,上海市浦东新区唐镇南曹路1106号,021-58781106,201210,演因,无,71310115090004530R
佛教（汉语系）,上海浦东新区伽蓝寺,固定处所,浦东新区,上海市浦东新区祝桥镇新营村李家宅90号,021-50600087,201202,耀智,无,71310115MCU13754X0
佛教（汉语系）,上海市浦东新区航头镇梓童莲院,固定处所,浦东新区,浦东新区航头镇长达村汇达396号,13671550794,201317,妙觉,无,71310115358925163Q
道教（正一）,上海财神庙,固定处所,浦东新区,上海市浦东新区华东路3251号,021-58583638,201201,夏光荣,省级文物保护单位,713101150593664106
道教（全真）,三元宫坤道院,寺观教堂,浦东新区,上海市浦东新区高科西路2119号,021—58813960,200125,范金凤,无,71310115760850390C
道教（正一）,上海钦赐仰殿道观,寺观教堂,浦东新区,上海市浦东新区源深路476号,021-58828689,200120,丁常云,市县级文物保护单位,71310115424875847B
道教（正一）,上海浦东新区龙王庙道观,寺观教堂,浦东新区,上海市浦东新区曹路镇启明村龙王庙1,021—58562332,201209,葛乃君,无,713101157543216529
道教（正一）,浦东新区航头镇城隍庙,固定处所,浦东新区,上海市浦东新区航头镇西市街,021-58171432,201316,邵志强,市县级文物保护单位,71310115572720353F
道教（正一）,崇福道院,寺观教堂,浦东新区,上海市浦东新区三林镇杨南路555号,021-68521231,200124,张开华,无,713101157709261920
